Month,Year,State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
2,2020,Tamil Nadu,33,Chennai Sea,Belgium,P8,Cotton Textiles,None,0,30226,2160840
9,2021,Tamil Nadu,33,Chennai Air,Denmark,N7,ATM & Molding Machinery,Kgs,5059,260294,19148140
3,2020,Delhi,7,Delhi Air,Korea,I7,Residul Chemicl And Alled Prod,None,0,297561,22123844
11,2018,Gujarat,24,"Hazira Port, Surat",Saudi Arab,I9,Othr Rubber Prodct Excpt Footw,None,0,243932,17527540
11,2018,Tamil Nadu,33,Icd Irungattukottai,Hong Kong,M2,Oth Non Ferous Metal And Prodc,None,0,114,8181
11,2023,Haryana,6,Icd Sonipat,Ireland,L5,"Aluminium, Products Of Aluminm",Ton,21,35622,2967216
8,2021,Delhi,7,Cfs Patparganj,Romania,I9,Othr Rubber Prodct Excpt Footw,None,0,5941,440728
1,2022,Gujarat,24,Ahmedabad Air Cargo Complex,Italy,N4,Electric Machinery And Equipme,None,0,33957,2527832
1,2019,Haryana,6,"Icd Palwal, Bhagola-Janauli",Kuwait,L5,"Aluminium, Products Of Aluminm",Ton,17,30939,2188380
3,2021,Uttar Pradesh,9,Cfs Albatross/Icd Dadri,Hong Kong,L6,Copper And Prdcts Made Of Copr,None,0,176971,12882216
3,2024,Kerala,32,Cochin Airport,Germany,K9,Plastic Sheets & Films,Kgs,70,5165,428662
3,2018,Kerala,32,Trivandrum Airport,Hungary,O9,Computer Hardware,None,0,86228,5606641
9,2020,Gujarat,24,"Pharma Dev By Zydus, Ahmedabad",U S A,L4,Products Of Iron And Steel,None,0,83,6072
4,2020,Tamil Nadu,33,Chennai Sea,U K,N1,"Ac, Refrigeration Machnry Etc",None,0,12527,955042
9,2019,Tamil Nadu,33,Suzlon Ap Infra Sez Coimbatore,China,M2,Oth Non Ferous Metal And Prodc,None,0,23,1655
7,2019,Telangana,36,Hyderabad Airport,Ukraine,H8,"Drug Formulations, Biologicals",Kgs,0,1520,104616
1,2021,Karnataka,29,Bangalore Airport,Turkey,N6,Dairy Machinery,None,0,54419,3978545
5,2023,Gujarat,24,Sez Dahej,Russia,I7,Residul Chemicl And Alled Prod,None,0,35816,2949216
9,2018,Maharashtra,27,Nhava Sheva Sea,Belgium,L5,"Aluminium, Products Of Aluminm",Ton,406,1816344,131167857
5,2018,Karnataka,29,Bangalore Airport,Romania,L4,Products Of Iron And Steel,None,0,354,23921
1,2023,West Bengal,19,Kolkata Air,Sweden,K4,Optical Items (Incl.Lens Etc),None,0,116,9492
2,2022,Andhra Pradesh,28,Apiic Limited(Naidupeta),Italy,L4,Products Of Iron And Steel,None,0,14756,1106752
9,2022,West Bengal,19,Kolkata Air,U A E,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,3144,252223
